label,question
1,Проясни что свидетельствуют цифры периодов
3,Желаю точно разобрать средства
2,Желаю номерок диспетчера справочной службы
2,Как насчет по телефону справочной службы
3,Посоветуй правильно отыскать продукты
1,Поделись че дарят цифры периодов
3,Посоветуй мне товар
3,Хочу правильно разобрать продукты
4,Хочу через тебя набросать резюме
4,Позволь быстро составить заявку на работу
1,Проясни што такое периоды
1,Что значат периоды по карте
4,Как я могу правильно набрать заявку на должность
3,Как присмотреть товар
2,Где найти номер справочную консультации
2,Можно мне информацию о диспетчером справочной службы
3,Как подыскать средство
3,Желаю точно мне медикамент
3,Как правильно найти медикамент
2,Что данные телефона справочной информации
1,О чем обозначают цифры периодов
1,Просвети как понять дают данные периодов
4,Желаю точно направить заявку на работу
4,Как точно подать резюме
4,Хочу быстро набросать заявку на работу
2,Желаю информацию о номере справке
2,Как насчет данные телефона справочной информации
1,Проясни че дают данные периодов
3,Посоветуй мне мне продукт
4,Желаю быстро подать резюме
4,Позволь быстро направить анкету
2,Можно мне номерок диспетчера справочной службы
2,Можно мне информацию о справке
1,Как обозначают период на сайте
2,Проясни насчет данные телефона оператору справки
2,Трудность с номером телефона справки
3,Хочу подобрать средства
3,Помоги выбрать лекарства
2,Хочу получить номер справочной консультацию
4,Желаю подать заявку на должность
2,Дай данные номера справке
4,Как я могу быстро направить заявку на работу
4,Как быстро подать анкету
3,Посоветуй присмотреть лекарство
2,Не могу узнать информацию о диспетчере справки
1,Расскажи что обозначают периоды по карте
4,Позволь подать заявку на пост
3,Помоги точно подобрать медикамент
1,Расскажи что значат период по карте
1,Какой смысл значат период на сайте
2,Хочу номер справочной консультацию
3,Посоветуй мне отыскать медикаменты
2,Какой номер справки
4,Хочу правильно написать заявку на пост
2,Помоги найти номер справке
1,Проясни для чего служат цифры периодов
2,Есть номерок диспетчере справочной службы
1,Расскажи че свидетельствуют цифры периодов
3,Как мне присмотреть товар
4,Как я могу набросать заявку на должность
3,Помоги мне найти товар
3,Помоги правильно присмотреть товар
3,Помоги точно подобрать товары
1,Просвети о чем такое цифры периодов
3,Помоги правильно отыскать товары
3,Посоветуй мне подыскать продукт
4,Как быстро написать заявку на работу
4,Как я могу точно заполнить заявку на должность
4,Позволь написать заявку на пост
3,Посоветуй точно присмотреть товар
4,Позволь правильно набросать анкету сотрудника
3,Посоветуй правильно выбрать товар
1,Какой смысл можно использовать период по карте
2,Дай номер телефона справочной консультации
1,Расскажи для чего дают цифры периодов
3,Помоги точно мне товары
1,Проясни о чем свидетельствуют периоды
4,Хочу через тебя подать анкету сотрудника
2,Объясни где взять по телефону справочной информации
4,Позволь оформить анкету сотрудника
3,Помоги точно подыскать продукты
2,Не могу узнать номер диспетчере справочной службы
2,Подскажи информацию о справочной службе
1,Объясни что можно использовать период по карте
3,Желаю подобрать медикаменты
1,Объясни о чем дарят цифры периодов
1,Поделись для чего дают данные периодов
3,Как подобрать лекарства
2,Не могу дозвонится данные телефона справки
3,Помоги точно подобрать продукты
3,Хочу мне подобрать товар
1,Объясни что обозначают цифры периодов
3,Хочу правильно разобрать товар
3,Помоги точно разобрать лекарства
1,Проясни о чем дарят данные периодов
2,Хочу получить номер справочную консультации
4,Как я могу правильно оформить анкету
3,Желаю правильно разобрать лекарство
3,Желаю правильно отыскать товары
4,Как я могу точно написать заявку на работу
3,Посоветуй присмотреть медикамент
3,Как мне отыскать продукты
3,Как мне мне средства
2,Можно мне информацию о диспетчера справки
1,Непонятно для чего служат периоды
2,Найди номер телефона справочной службы
4,Позволь быстро составить резюме
2,Что там насчет телефона в справку
3,Хочу правильно присмотреть продукт
2,Не могу найти информацию о номере оператора справочной службы
3,Хочу мне найти медикаменты
1,О чем значат период по карте
3,Помоги подыскать средства
2,Желаю номер диспетчера справочной службы
4,Помоги через тебя набрать анкету
1,О чем обозначают периоды по карте
4,Как я могу быстро заполнить заявку на пост
4,Как я могу быстро направить резюме
3,Хочу точно найти лекарства
4,Хочу правильно заполнить заявку на должность
1,Непонятно что дарят цифры периодов
4,Желаю правильно заполнить заявку на работу
2,Где взять телефон оператора справочную консультации
4,Хочу точно подать заявку на работу
3,Хочу правильно мне товары
2,Подскажи телефон оператора справочной консультацию
3,Посоветуй мне разобрать средства
4,Как я могу быстро придумать анкету
4,Желаю через тебя составить заявку на должность
2,Что номера справочной службы
1,Проясни для чего дают периоды
4,Как я могу точно набрать заявку на пост
3,Посоветуй правильно подыскать товары
2,Помоги найти номерок справки
4,Позволь правильно составить анкету сотрудника
3,Хочу точно подыскать медикамент
2,Не могу найти информацию о диспетчером справочной службы
3,Хочу точно отыскать товар
1,Какой смысл обозначают период на карте
4,Хочу точно набросать заявку на пост
4,Позволь быстро оставить заявку на пост
3,Желаю точно мне товары
2,Можно мне как связаться с диспетчере справочной службы
